raceId,year,round,racename,date,driverId,driverRef,surname,constructorId,constructorRef,constructorname,constructornat,resultId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
900,2014,1,Australian Grand Prix,2014-03-16,1,hamilton,Hamilton,131,mercedes,Mercedes,German,22148,44,1,NA,R,19,0,2,NA,NA,2,20,1:49.947,173.636,5
900,2014,1,Australian Grand Prix,2014-03-16,3,rosberg,Rosberg,131,mercedes,Mercedes,German,22130,6,3,1,1,1,25,57,1:32:58.710,5578710,19,1,1:32.478,206.436,1
900,2014,1,Australian Grand Prix,2014-03-16,4,alonso,Alonso,6,ferrari,Ferrari,Italian,22133,14,5,4,4,4,12,57,+35.284,5613994,57,7,1:33.186,204.867,1
900,2014,1,Australian Grand Prix,2014-03-16,8,raikkonen,Räikkönen,6,ferrari,Ferrari,Italian,22136,7,11,7,7,7,6,57,+57.675,5636385,56,8,1:33.210,204.814,1
900,2014,1,Australian Grand Prix,2014-03-16,13,massa,Massa,3,williams,Williams,British,22149,19,9,NA,R,20,0,0,NA,NA,2,19,1:40.287,190.361,4
900,2014,1,Australian Grand Prix,2014-03-16,16,sutil,Sutil,15,sauber,Sauber,Swiss,22140,99,13,11,11,11,0,56,NA,NA,34,9,1:33.366,204.472,11
900,2014,1,Australian Grand Prix,2014-03-16,18,button,Button,1,mclaren,McLaren,British,22132,22,10,3,3,3,15,57,+30.027,5608737,39,5,1:32.917,205.46,1
900,2014,1,Australian Grand Prix,2014-03-16,20,vettel,Vettel,9,red_bull,Red Bull,Austrian,22147,1,12,NA,R,18,0,3,NA,NA,26,17,1:37.064,196.682,5
900,2014,1,Australian Grand Prix,2014-03-16,154,grosjean,Grosjean,208,lotus_f1,Lotus F1,British,22144,8,22,NA,R,15,0,43,NA,NA,41,15,1:35.281,200.363,132
900,2014,1,Australian Grand Prix,2014-03-16,155,kobayashi,Kobayashi,207,caterham,Caterham,Malaysian,22150,10,14,NA,R,21,0,0,NA,NA,NA,0,NA,NA,4
900,2014,1,Australian Grand Prix,2014-03-16,807,hulkenberg,Hülkenberg,10,force_india,Force India,Indian,22135,27,7,6,6,6,8,57,+50.718,5629428,56,2,1:32.568,206.235,1
900,2014,1,Australian Grand Prix,2014-03-16,813,maldonado,Maldonado,208,lotus_f1,Lotus F1,British,22145,13,21,NA,R,16,0,29,NA,NA,30,14,1:34.766,201.451,132
900,2014,1,Australian Grand Prix,2014-03-16,815,perez,Pérez,10,force_india,Force India,Indian,22139,11,16,10,10,10,1,57,+1:25.916,5664626,38,4,1:32.634,206.088,1
900,2014,1,Australian Grand Prix,2014-03-16,817,ricciardo,Ricciardo,9,red_bull,Red Bull,Austrian,22151,3,2,NA,D,22,0,57,+24.525,5603235,NA,0,NA,NA,2
900,2014,1,Australian Grand Prix,2014-03-16,818,vergne,Vergne,5,toro_rosso,Toro Rosso,Italian,22137,25,6,8,8,8,4,57,+1:00.441,5639151,56,10,1:33.691,203.763,1
900,2014,1,Australian Grand Prix,2014-03-16,820,chilton,Chilton,206,marussia,Marussia,Russian,22142,4,17,13,13,13,0,55,NA,NA,33,12,1:34.202,202.658,12
900,2014,1,Australian Grand Prix,2014-03-16,821,gutierrez,Gutiérrez,15,sauber,Sauber,Swiss,22141,21,20,12,12,12,0,56,NA,NA,41,13,1:34.564,201.882,11
900,2014,1,Australian Grand Prix,2014-03-16,822,bottas,Bottas,3,williams,Williams,British,22134,77,15,5,5,5,10,57,+47.639,5626349,56,3,1:32.616,206.128,1
900,2014,1,Australian Grand Prix,2014-03-16,824,jules_bianchi,Bianchi,206,marussia,Marussia,Russian,22143,17,18,NA,N,14,0,49,NA,NA,55,16,1:35.635,199.621,18
900,2014,1,Australian Grand Prix,2014-03-16,825,kevin_magnussen,Magnussen,1,mclaren,McLaren,British,22131,20,4,2,2,2,18,57,+26.777,5605487,49,6,1:33.066,205.131,1
900,2014,1,Australian Grand Prix,2014-03-16,826,kvyat,Kvyat,5,toro_rosso,Toro Rosso,Italian,22138,26,8,9,9,9,2,57,+1:03.585,5642295,35,11,1:33.864,203.387,1
900,2014,1,Australian Grand Prix,2014-03-16,828,ericsson,Ericsson,207,caterham,Caterham,Malaysian,22146,9,19,NA,R,17,0,27,NA,NA,17,18,1:37.332,196.141,51
901,2014,2,Malaysian Grand Prix,2014-03-30,1,hamilton,Hamilton,131,mercedes,Mercedes,German,22152,44,1,1,1,1,25,56,1:40:25.974,6025974,53,1,1:43.066,193.611,1
901,2014,2,Malaysian Grand Prix,2014-03-30,3,rosberg,Rosberg,131,mercedes,Mercedes,German,22153,6,3,2,2,2,18,56,+17.313,6043287,55,2,1:43.960,191.946,1
901,2014,2,Malaysian Grand Prix,2014-03-30,4,alonso,Alonso,6,ferrari,Ferrari,Italian,22155,14,4,4,4,4,12,56,+35.992,6061966,47,3,1:44.165,191.569,1
901,2014,2,Malaysian Grand Prix,2014-03-30,8,raikkonen,Räikkönen,6,ferrari,Ferrari,Italian,22163,7,6,12,12,12,0,55,NA,NA,36,7,1:45.129,189.812,11
901,2014,2,Malaysian Grand Prix,2014-03-30,13,massa,Massa,3,williams,Williams,British,22158,19,13,7,7,7,6,56,+1:25.076,6111050,44,6,1:44.897,190.232,1
901,2014,2,Malaysian Grand Prix,2014-03-30,16,sutil,Sutil,15,sauber,Sauber,Swiss,22169,99,17,NA,R,18,0,32,NA,NA,27,17,1:48.040,184.698,10
901,2014,2,Malaysian Grand Prix,2014-03-30,18,button,Button,1,mclaren,McLaren,British,22157,22,10,6,6,6,8,56,+1:23.691,6109665,47,11,1:46.039,188.183,1
901,2014,2,Malaysian Grand Prix,2014-03-30,20,vettel,Vettel,9,red_bull,Red Bull,Austrian,22154,1,2,3,3,3,15,56,+24.534,6050508,51,4,1:44.289,191.341,1
901,2014,2,Malaysian Grand Prix,2014-03-30,154,grosjean,Grosjean,208,lotus_f1,Lotus F1,British,22162,8,15,11,11,11,0,55,NA,NA,42,12,1:46.224,187.855,11
901,2014,2,Malaysian Grand Prix,2014-03-30,155,kobayashi,Kobayashi,207,caterham,Caterham,Malaysian,22164,10,20,13,13,13,0,55,NA,NA,53,15,1:47.753,185.19,11
901,2014,2,Malaysian Grand Prix,2014-03-30,807,hulkenberg,Hülkenberg,10,force_india,Force India,Indian,22156,27,7,5,5,5,10,56,+47.199,6073173,38,10,1:45.982,188.284,1
901,2014,2,Malaysian Grand Prix,2014-03-30,813,maldonado,Maldonado,208,lotus_f1,Lotus F1,British,22172,13,16,NA,R,21,0,7,NA,NA,6,20,1:50.929,179.888,5
901,2014,2,Malaysian Grand Prix,2014-03-30,815,perez,Pérez,10,force_india,Force India,Indian,22173,11,14,NA,W,22,0,0,NA,NA,NA,0,NA,NA,54
901,2014,2,Malaysian Grand Prix,2014-03-30,817,ricciardo,Ricciardo,9,red_bull,Red Bull,Austrian,22167,3,5,NA,R,16,0,49,NA,NA,48,5,1:44.675,190.635,39
901,2014,2,Malaysian Grand Prix,2014-03-30,818,vergne,Vergne,5,toro_rosso,Toro Rosso,Italian,22170,25,9,NA,R,19,0,18,NA,NA,4,19,1:48.527,183.869,131
901,2014,2,Malaysian Grand Prix,2014-03-30,820,chilton,Chilton,206,marussia,Marussia,Russian,22166,4,21,15,15,15,0,54,NA,NA,49,18,1:48.249,184.341,12
901,2014,2,Malaysian Grand Prix,2014-03-30,821,gutierrez,Gutiérrez,15,sauber,Sauber,Swiss,22168,21,12,NA,R,17,0,35,NA,NA,27,16,1:47.782,185.14,6
901,2014,2,Malaysian Grand Prix,2014-03-30,822,bottas,Bottas,3,williams,Williams,British,22159,77,18,8,8,8,4,56,+1:25.537,6111511,31,9,1:45.475,189.189,1
901,2014,2,Malaysian Grand Prix,2014-03-30,824,jules_bianchi,Bianchi,206,marussia,Marussia,Russian,22171,17,19,NA,R,20,0,8,NA,NA,4,21,1:51.473,179.01,23
901,2014,2,Malaysian Grand Prix,2014-03-30,825,kevin_magnussen,Magnussen,1,mclaren,McLaren,British,22160,20,8,9,9,9,2,55,NA,NA,44,8,1:45.373,189.372,11
901,2014,2,Malaysian Grand Prix,2014-03-30,826,kvyat,Kvyat,5,toro_rosso,Toro Rosso,Italian,22161,26,11,10,10,10,1,55,NA,NA,36,13,1:46.695,187.026,11
901,2014,2,Malaysian Grand Prix,2014-03-30,828,ericsson,Ericsson,207,caterham,Caterham,Malaysian,22165,9,22,14,14,14,0,54,NA,NA,40,14,1:47.500,185.626,12
902,2014,3,Bahrain Grand Prix,2014-04-06,1,hamilton,Hamilton,131,mercedes,Mercedes,German,22174,44,2,1,1,1,25,57,1:39:42.743,5982743,49,2,1:37.108,200.634,1
902,2014,3,Bahrain Grand Prix,2014-04-06,3,rosberg,Rosberg,131,mercedes,Mercedes,German,22175,6,1,2,2,2,18,57,+1.085,5983828,49,1,1:37.020,200.816,1
902,2014,3,Bahrain Grand Prix,2014-04-06,4,alonso,Alonso,6,ferrari,Ferrari,Italian,22182,14,9,9,9,9,2,57,+32.595,6015338,53,12,1:39.732,195.355,1
902,2014,3,Bahrain Grand Prix,2014-04-06,8,raikkonen,Räikkönen,6,ferrari,Ferrari,Italian,22183,7,5,10,10,10,1,57,+33.462,6016205,35,8,1:39.438,195.933,1
902,2014,3,Bahrain Grand Prix,2014-04-06,13,massa,Massa,3,williams,Williams,British,22180,19,7,7,7,7,6,57,+31.265,6014008,40,5,1:39.272,196.26,1
902,2014,3,Bahrain Grand Prix,2014-04-06,16,sutil,Sutil,15,sauber,Sauber,Swiss,22195,99,22,NA,R,22,0,17,NA,NA,9,20,1:41.791,191.403,4
902,2014,3,Bahrain Grand Prix,2014-04-06,18,button,Button,1,mclaren,McLaren,British,22190,22,6,17,17,17,0,55,NA,NA,37,10,1:39.565,195.683,8
902,2014,3,Bahrain Grand Prix,2014-04-06,20,vettel,Vettel,9,red_bull,Red Bull,Austrian,22179,1,10,6,6,6,8,57,+29.879,6012622,18,6,1:39.312,196.181,1
902,2014,3,Bahrain Grand Prix,2014-04-06,154,grosjean,Grosjean,208,lotus_f1,Lotus F1,British,22185,8,16,12,12,12,0,57,+43.143,6025886,39,9,1:39.443,195.923,1
902,2014,3,Bahrain Grand Prix,2014-04-06,155,kobayashi,Kobayashi,207,caterham,Caterham,Malaysian,22188,10,18,15,15,15,0,57,+1:27.900,6070643,17,18,1:41.246,192.434,1
902,2014,3,Bahrain Grand Prix,2014-04-06,807,hulkenberg,Hülkenberg,10,force_india,Force India,Indian,22178,27,11,5,5,5,10,57,+28.654,6011397,37,3,1:38.785,197.228,1
902,2014,3,Bahrain Grand Prix,2014-04-06,813,maldonado,Maldonado,208,lotus_f1,Lotus F1,British,22187,13,17,14,14,14,0,57,+1:02.803,6045546,52,11,1:39.666,195.484,1
902,2014,3,Bahrain Grand Prix,2014-04-06,815,perez,Pérez,10,force_india,Force India,Indian,22176,11,4,3,3,3,15,57,+24.067,6006810,36,7,1:39.320,196.165,1
902,2014,3,Bahrain Grand Prix,2014-04-06,817,ricciardo,Ricciardo,9,red_bull,Red Bull,Austrian,22177,3,13,4,4,4,12,57,+24.489,6007232,38,4,1:39.269,196.266,1
902,2014,3,Bahrain Grand Prix,2014-04-06,818,vergne,Vergne,5,toro_rosso,Toro Rosso,Italian,22194,25,14,NA,R,21,0,18,NA,NA,16,19,1:41.650,191.669,31
902,2014,3,Bahrain Grand Prix,2014-04-06,820,chilton,Chilton,206,marussia,Marussia,Russian,22186,4,21,13,13,13,0,57,+59.909,6042652,48,21,1:41.825,191.34,1
902,2014,3,Bahrain Grand Prix,2014-04-06,821,gutierrez,Gutiérrez,15,sauber,Sauber,Swiss,22192,21,15,NA,R,19,0,39,NA,NA,32,16,1:40.698,193.481,4
902,2014,3,Bahrain Grand Prix,2014-04-06,822,bottas,Bottas,3,williams,Williams,British,22181,77,3,8,8,8,4,57,+31.876,6014619,50,13,1:39.762,195.296,1
902,2014,3,Bahrain Grand Prix,2014-04-06,824,jules_bianchi,Bianchi,206,marussia,Marussia,Russian,22189,17,19,16,16,16,0,56,NA,NA,44,22,1:42.175,190.684,11
902,2014,3,Bahrain Grand Prix,2014-04-06,825,kevin_magnussen,Magnussen,1,mclaren,McLaren,British,22191,20,8,NA,R,18,0,40,NA,NA,40,14,1:40.108,194.621,8
902,2014,3,Bahrain Grand Prix,2014-04-06,826,kvyat,Kvyat,5,toro_rosso,Toro Rosso,Italian,22184,26,12,11,11,11,0,57,+41.342,6024085,12,15,1:40.160,194.52,1
902,2014,3,Bahrain Grand Prix,2014-04-06,828,ericsson,Ericsson,207,caterham,Caterham,Malaysian,22193,9,20,NA,R,20,0,33,NA,NA,28,17,1:41.134,192.647,31
903,2014,4,Chinese Grand Prix,2014-04-20,1,hamilton,Hamilton,131,mercedes,Mercedes,German,22196,44,1,1,1,1,25,54,1:33:28.338,5608338,42,2,1:41.196,193.916,1
903,2014,4,Chinese Grand Prix,2014-04-20,3,rosberg,Rosberg,131,mercedes,Mercedes,German,22197,6,4,2,2,2,18,54,+18.062,5626400,39,1,1:40.402,195.45,1
903,2014,4,Chinese Grand Prix,2014-04-20,4,alonso,Alonso,6,ferrari,Ferrari,Italian,22198,14,5,3,3,3,15,54,+23.604,5631942,48,4,1:42.081,192.235,1
903,2014,4,Chinese Grand Prix,2014-04-20,8,raikkonen,Räikkönen,6,ferrari,Ferrari,Italian,22203,7,11,8,8,8,4,54,+1:16.335,5684673,34,8,1:42.300,191.824,1
903,2014,4,Chinese Grand Prix,2014-04-20,13,massa,Massa,3,williams,Williams,British,22210,19,6,15,15,15,0,53,NA,NA,34,9,1:42.379,191.676,11
903,2014,4,Chinese Grand Prix,2014-04-20,16,sutil,Sutil,15,sauber,Sauber,Swiss,22217,99,14,NA,R,22,0,5,NA,NA,2,22,1:58.376,165.773,5
