raceId,year,round,racename,date,driverId,driverRef,surname,constructorId,constructorRef,constructorname,constructornat,resultId,number,grid,position,positionText,positionOrder,points,laps,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,stop,lap,time,duration,milliseconds
900,2014,1,Australian Grand Prix,2014-03-16,3,rosberg,Rosberg,131,mercedes,Mercedes,German,22130,6,3,1,1,1,25,57,19,1,1:32.478,206.436,1,1,12,17:27:27,24.331,24331
900,2014,1,Australian Grand Prix,2014-03-16,3,rosberg,Rosberg,131,mercedes,Mercedes,German,22130,6,3,1,1,1,25,57,19,1,1:32.478,206.436,1,2,38,18:10:59,23.673,23673
900,2014,1,Australian Grand Prix,2014-03-16,4,alonso,Alonso,6,ferrari,Ferrari,Italian,22133,14,5,4,4,4,12,57,57,7,1:33.186,204.867,1,1,12,17:27:55,22.887,22887
900,2014,1,Australian Grand Prix,2014-03-16,4,alonso,Alonso,6,ferrari,Ferrari,Italian,22133,14,5,4,4,4,12,57,57,7,1:33.186,204.867,1,2,35,18:06:45,21.978,21978
900,2014,1,Australian Grand Prix,2014-03-16,8,raikkonen,Räikkönen,6,ferrari,Ferrari,Italian,22136,7,11,7,7,7,6,57,56,8,1:33.210,204.814,1,1,12,17:28:02,25.543,25543
900,2014,1,Australian Grand Prix,2014-03-16,8,raikkonen,Räikkönen,6,ferrari,Ferrari,Italian,22136,7,11,7,7,7,6,57,56,8,1:33.210,204.814,1,2,36,18:08:30,21.825,21825
900,2014,1,Australian Grand Prix,2014-03-16,16,sutil,Sutil,15,sauber,Sauber,Swiss,22140,99,13,11,11,11,0,56,34,9,1:33.366,204.472,11,1,35,18:07:21,24.305,24305
900,2014,1,Australian Grand Prix,2014-03-16,18,button,Button,1,mclaren,McLaren,British,22132,22,10,3,3,3,15,57,39,5,1:32.917,205.46,1,1,11,17:26:02,22.411,22411
900,2014,1,Australian Grand Prix,2014-03-16,18,button,Button,1,mclaren,McLaren,British,22132,22,10,3,3,3,15,57,39,5,1:32.917,205.46,1,2,32,18:02:01,22.399,22399
900,2014,1,Australian Grand Prix,2014-03-16,154,grosjean,Grosjean,208,lotus_f1,Lotus F1,British,22144,8,22,NA,R,15,0,43,41,15,1:35.281,200.363,132,1,1,17:09:56,17.255,17255
